timeStamp;userID;targetApp;eventType;url;content;target.workbookName;target.sheetName;target.id;target.class;target.tagName;target.type;target.name;target.value;target.innerText;target.checked;target.href;target.option
2019-03-20T04:38:13.147Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;B2;NA;;;;11/03/1986;;;;NA
2019-03-20T04:38:13.242Z;;OS-Clipboard;copy;;11/03/1986;;;;NA;;;;;;;;NA
2019-03-20T04:38:14.123Z;vleno;Chrome;focus window changed;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:38:15.165Z;vleno;Chrome;mouseClick;;;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:38:15.450Z;vleno;Chrome;paste;;11/03/1986;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:38:19.767Z;vleno;Chrome;editField;;;;;Date-date;NA;INPUT;text;date;11-03-1986;;;;NA
2019-03-20T04:38:22.658Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;E2;NA;;;;Australia;;;;NA
2019-03-20T04:38:22.708Z;;OS-Clipboard;copy;;Australia;;;;NA;;;;;;;;NA
2019-03-20T04:38:25.081Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:38:25.706Z;vleno;Chrome;paste;;Australia;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:38:26.218Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;SingleLine;Australia;;;;NA
2019-03-20T04:38:29.246Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;C2;NA;;;;+61 039 689 9324;;;;NA
2019-03-20T04:38:29.293Z;;OS-Clipboard;copy;;+61 039 689 9324;;;;NA;;;;;;;;NA
2019-03-20T04:38:32.001Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:38:32.330Z;vleno;Chrome;paste;;+61 039 689 9324;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:38:37.602Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;countrycode;039-689-9324;;;;NA
2019-03-20T04:38:40.625Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;D2;NA;;;;jdoe@gmail.com;;;;NA
2019-03-20T04:38:40.705Z;;OS-Clipboard;copy;;jdoe@gmail.com;;;;NA;;;;;;;;NA
2019-03-20T04:38:42.386Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:38:42.802Z;vleno;Chrome;paste;;jdoe@gmail.com;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:38:43.498Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Email;jdoe@gmail.com;;;;NA
2019-03-20T04:38:46.922Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;F2;NA;;;;122 Albert St, Port Melbourne, VIC 3207, Melbourne, Australia;;;;NA
2019-03-20T04:38:50.248Z;;OS-Clipboard;copy;;122 Albert St, Port Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:38:52.337Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:38:52.793Z;vleno;Chrome;paste;;122 Albert St, Port Melbourne;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:38:54.314Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_AddressLine1;122 Albert St, Port Melbourne;;;;NA
2019-03-20T04:38:58.655Z;;OS-Clipboard;copy;;Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:39:00.545Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:39:00.961Z;vleno;Chrome;paste;;Melbourne;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:39:01.530Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_City;Melbourne;;;;NA
2019-03-20T04:39:05.052Z;;OS-Clipboard;copy;;VIC;;;;NA;;;;;;;;NA
2019-03-20T04:39:06.929Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:39:07.208Z;vleno;Chrome;paste;;VIC;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:39:07.786Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_Region;VIC;;;;NA
2019-03-20T04:39:11.982Z;;OS-Clipboard;copy;;3207;;;;NA;;;;;;;;NA
2019-03-20T04:39:13.881Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:39:14.162Z;vleno;Chrome;paste;;3207;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:39:14.866Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_ZipCode;3207;;;;NA
2019-03-20T04:39:17.990Z;;OS-Clipboard;copy;;Australia;;;;NA;;;;;;;;NA
2019-03-20T04:39:21.354Z;vleno;Chrome;editField;;;;;Address_Country;NA;SELECT;select-one;Address_Country;Australia;;;;NA
2019-03-20T04:39:24.021Z;vleno;Chrome;mouseClick;;;;;;NA;BUTTON;submit;;submit;Submit;;;NA
2019-03-20T04:39:25.253Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM/thankyou;;;;;NA;;;;;;;;NA
2019-03-20T04:39:26.955Z;vleno;Chrome;mouseClick;;;;;;NA;B;;;;Add another response;;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;NA
2019-03-20T04:39:27.296Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:39:30.867Z;vleno;Excel;editCell;;;StudentRecords.xlsx;Sheet2;F2;NA;;;;122 Albert St, Port Melbourne, VIC 3207, Melbourne, Australia;;;;NA
2019-03-20T04:39:30.868Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;A3;NA;;;;Albert Rauf;;;;NA
2019-03-20T04:39:31.243Z;;OS-Clipboard;copy;;Albert Rauf;;;;NA;;;;;;;;NA
2019-03-20T04:39:33.193Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:39:33.633Z;vleno;Chrome;paste;;Albert Rauf;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:39:35.418Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_First;Albert;;;;NA
2019-03-20T04:39:35.513Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:39:36.163Z;vleno;Chrome;paste;;Albert Rauf;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:39:39.082Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_Last;Rauf;;;;NA
2019-03-20T04:39:42.466Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;B3;NA;;;;11/04/1986;;;;NA
2019-03-20T04:39:42.523Z;;OS-Clipboard;copy;;11/04/1986;;;;NA;;;;;;;;NA
2019-03-20T04:39:44.494Z;vleno;Chrome;mouseClick;;;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:39:45.937Z;vleno;Chrome;paste;;11/04/1986;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:39:50.234Z;vleno;Chrome;editField;;;;;Date-date;NA;INPUT;text;date;11-04-1986;;;;NA
2019-03-20T04:39:53.309Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;E3;NA;;;;Germany;;;;NA
2019-03-20T04:39:53.401Z;;OS-Clipboard;copy;;Germany;;;;NA;;;;;;;;NA
2019-03-20T04:39:55.201Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:39:55.425Z;vleno;Chrome;paste;;Germany;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:39:56.202Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;SingleLine;Germany;;;;NA
2019-03-20T04:39:58.471Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;C3;NA;;;;+61 043 512 4834;;;;NA
2019-03-20T04:39:58.974Z;;OS-Clipboard;copy;;+61 043 512 4834;;;;NA;;;;;;;;NA
2019-03-20T04:40:00.873Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:40:01.073Z;vleno;Chrome;paste;;+61 043 512 4834;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:40:06.298Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;countrycode;043-512-4834;;;;NA
2019-03-20T04:40:09.843Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;D3;NA;;;;arauf@gmail.com;;;;NA
2019-03-20T04:40:09.966Z;;OS-Clipboard;copy;;arauf@gmail.com;;;;NA;;;;;;;;NA
2019-03-20T04:40:11.842Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:40:12.162Z;vleno;Chrome;paste;;arauf@gmail.com;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:40:12.610Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Email;arauf@gmail.com;;;;NA
2019-03-20T04:40:15.539Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;F3;NA;;;;99 Beacon Rd, Port Melbourne, VIC 3207, Melbourne, Australia;;;;NA
2019-03-20T04:40:19.403Z;;OS-Clipboard;copy;;99 Beacon Rd, Port Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:40:21.114Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:40:21.396Z;vleno;Chrome;paste;;99 Beacon Rd, Port Melbourne;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:40:21.834Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_AddressLine1;99 Beacon Rd, Port Melbourne;;;;NA
2019-03-20T04:40:28.920Z;;OS-Clipboard;copy;;Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:40:31.290Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:40:31.571Z;vleno;Chrome;paste;;Melbourne;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:40:32.004Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_City;Melbourne;;;;NA
2019-03-20T04:40:35.480Z;;OS-Clipboard;copy;;VIC;;;;NA;;;;;;;;NA
2019-03-20T04:40:37.307Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:40:37.619Z;vleno;Chrome;paste;;VIC;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:40:38.026Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_Region;VIC;;;;NA
2019-03-20T04:40:42.342Z;;OS-Clipboard;copy;;3207;;;;NA;;;;;;;;NA
2019-03-20T04:40:44.138Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:40:44.466Z;vleno;Chrome;paste;;3207;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:40:44.930Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_ZipCode;3207;;;;NA
2019-03-20T04:40:48.824Z;;OS-Clipboard;copy;;Australia;;;;NA;;;;;;;;NA
2019-03-20T04:40:52.714Z;vleno;Chrome;editField;;;;;Address_Country;NA;SELECT;select-one;Address_Country;Australia;;;;NA
2019-03-20T04:40:54.570Z;vleno;Chrome;mouseClick;;;;;DecisionBox;NA;INPUT;checkbox;DecisionBox;on;;true;;NA
2019-03-20T04:40:54.571Z;vleno;Chrome;editField;;;;;DecisionBox;NA;INPUT;checkbox;DecisionBox;on;;true;;NA
2019-03-20T04:40:56.142Z;vleno;Chrome;mouseClick;;;;;;NA;BUTTON;submit;;submit;Submit;;;NA
2019-03-20T04:40:57.282Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM/thankyou;;;;;NA;;;;;;;;NA
2019-03-20T04:40:59.483Z;vleno;Chrome;mouseClick;;;;;;NA;B;;;;Add another response;;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;NA
2019-03-20T04:40:59.818Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:41:03.717Z;vleno;Excel;editCell;;;StudentRecords.xlsx;Sheet2;F3;NA;;;;99 Beacon Rd, Port Melbourne, VIC 3207, Melbourne, Australia;;;;NA
2019-03-20T04:41:03.718Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;A4;NA;;;;Steven Richards;;;;NA
2019-03-20T04:41:03.788Z;;OS-Clipboard;copy;;Steven Richards;;;;NA;;;;;;;;NA
2019-03-20T04:41:05.506Z;vleno;Chrome;paste;;Steven Richards;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:41:07.980Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_First;Steven;;;;NA
2019-03-20T04:41:08.043Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:41:08.377Z;vleno;Chrome;paste;;Steven Richards;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:41:11.498Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_Last;Richards;;;;NA
2019-03-20T04:41:14.508Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;B4;NA;;;;18/06/1986;;;;NA
2019-03-20T04:41:14.595Z;;OS-Clipboard;copy;;18/06/1986;;;;NA;;;;;;;;NA
2019-03-20T04:41:16.315Z;vleno;Chrome;mouseClick;;;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:41:16.571Z;vleno;Chrome;paste;;18/06/1986;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:41:20.608Z;vleno;Chrome;editField;;;;;Date-date;NA;INPUT;text;date;18-06-1986;;;;NA
2019-03-20T04:41:24.079Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;E4;NA;;;;Australia;;;;NA
2019-03-20T04:41:24.119Z;;OS-Clipboard;copy;;Australia;;;;NA;;;;;;;;NA
2019-03-20T04:41:25.849Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:41:26.257Z;vleno;Chrome;paste;;Australia;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:41:26.674Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;SingleLine;Australia;;;;NA
2019-03-20T04:41:29.607Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;C4;NA;;;;+61 035 376 0669;;;;NA
2019-03-20T04:41:29.781Z;;OS-Clipboard;copy;;+61 035 376 0669;;;;NA;;;;;;;;NA
2019-03-20T04:41:32.145Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:41:32.393Z;vleno;Chrome;paste;;+61 035 376 0669;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:41:37.602Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;countrycode;035-376-0669;;;;NA
2019-03-20T04:41:40.958Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;D4;NA;;;;srichards@gmail.com;;;;NA
2019-03-20T04:41:41.057Z;;OS-Clipboard;copy;;srichards@gmail.com;;;;NA;;;;;;;;NA
2019-03-20T04:41:42.738Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:41:43.049Z;vleno;Chrome;paste;;srichards@gmail.com;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:41:43.515Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Email;srichards@gmail.com;;;;NA
2019-03-20T04:41:46.514Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;F4;NA;;;;396 Clarendon St, South Melbourne, VIC 3205, Melbourne, Australia;;;;NA
2019-03-20T04:41:49.980Z;;OS-Clipboard;copy;;396 Clarendon St, South Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:41:52.073Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:41:52.337Z;vleno;Chrome;paste;;396 Clarendon St, South Melbourne;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:41:52.747Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_AddressLine1;396 Clarendon St, South Melbourne;;;;NA
2019-03-20T04:41:56.505Z;;OS-Clipboard;copy;;Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:41:58.306Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:41:58.641Z;vleno;Chrome;paste;;Melbourne;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:41:59.018Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_City;Melbourne;;;;NA
2019-03-20T04:42:02.320Z;;OS-Clipboard;copy;;VIC;;;;NA;;;;;;;;NA
2019-03-20T04:42:03.913Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:42:04.202Z;vleno;Chrome;paste;;VIC;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:42:04.522Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_Region;VIC;;;;NA
2019-03-20T04:42:08.190Z;;OS-Clipboard;copy;;3205;;;;NA;;;;;;;;NA
2019-03-20T04:42:10.017Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:42:10.323Z;vleno;Chrome;paste;;3205;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
2019-03-20T04:42:10.705Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_ZipCode;3205;;;;NA
2019-03-20T04:42:13.831Z;;OS-Clipboard;copy;;Australia;;;;NA;;;;;;;;NA
2019-03-20T04:42:16.474Z;vleno;Chrome;editField;;;;;Address_Country;NA;SELECT;select-one;Address_Country;Australia;;;;NA
2019-03-20T04:42:18.946Z;vleno;Chrome;mouseClick;;;;;;NA;BUTTON;submit;;submit;Submit;;;NA
2019-03-20T04:42:20.152Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM/thankyou;;;;;NA;;;;;;;;NA
2019-03-20T04:42:21.980Z;vleno;Chrome;mouseClick;;;;;;NA;B;;;;Add another response;;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;NA
2019-03-20T04:42:22.336Z;vleno;Chrome;link;https://forms.zohopublic.com/universityofmelbourne/form/NewRecord/formperma/RE682jAqAfIkgTwQyjpvH4PZRbCwMXQN4Wf_RqmB9oM;;;;;NA;;;;;;;;NA
2019-03-20T04:42:26.614Z;vleno;Excel;editCell;;;StudentRecords.xlsx;Sheet2;F4;NA;;;;396 Clarendon St, South Melbourne, VIC 3205, Melbourne, Australia;;;;NA
2019-03-20T04:42:26.614Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;A5;NA;;;;Gerard Dubois;;;;NA
2019-03-20T04:42:26.665Z;;OS-Clipboard;copy;;Gerard Dubois;;;;NA;;;;;;;;NA
2019-03-20T04:42:28.322Z;vleno;Chrome;paste;;Gerard Dubois;;;;NA;INPUT;text;Name_First;;;;;NA
2019-03-20T04:42:30.346Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_First;Gerard;;;;NA
2019-03-20T04:42:30.434Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:42:30.721Z;vleno;Chrome;paste;;Gerard Dubois;;;;NA;INPUT;text;Name_Last;;;;;NA
2019-03-20T04:42:33.682Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Name_Last;Dubois;;;;NA
2019-03-20T04:42:39.021Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;B5;NA;;;;08/04/1987;;;;NA
2019-03-20T04:42:39.097Z;;OS-Clipboard;copy;;08/04/1987;;;;NA;;;;;;;;NA
2019-03-20T04:42:40.860Z;vleno;Chrome;mouseClick;;;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:42:41.113Z;vleno;Chrome;paste;;08/04/1987;;;Date-date;NA;INPUT;text;date;;;;;NA
2019-03-20T04:42:45.078Z;vleno;Chrome;editField;;;;;Date-date;NA;INPUT;text;date;08-04-1987;;;;NA
2019-03-20T04:42:48.578Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;E5;NA;;;;France;;;;NA
2019-03-20T04:42:48.631Z;;OS-Clipboard;copy;;France;;;;NA;;;;;;;;NA
2019-03-20T04:42:50.330Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:42:50.601Z;vleno;Chrome;paste;;France;;;;NA;INPUT;text;SingleLine;;;;;NA
2019-03-20T04:42:51.161Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;SingleLine;France;;;;NA
2019-03-20T04:42:53.881Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;C5;NA;;;;+61 043 532 6105;;;;NA
2019-03-20T04:42:53.936Z;;OS-Clipboard;copy;;+61 043 532 6105;;;;NA;;;;;;;;NA
2019-03-20T04:42:55.714Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:42:55.948Z;vleno;Chrome;paste;;+61 043 532 6105;;;;NA;INPUT;text;countrycode;;;;;NA
2019-03-20T04:43:01.409Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;countrycode;043-532-6105;;;;NA
2019-03-20T04:43:04.740Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;D5;NA;;;;gdubois@gmail.com;;;;NA
2019-03-20T04:43:04.827Z;;OS-Clipboard;copy;;gdubois@gmail.com;;;;NA;;;;;;;;NA
2019-03-20T04:43:06.681Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:43:06.906Z;vleno;Chrome;paste;;gdubois@gmail.com;;;;NA;INPUT;text;Email;;;;;NA
2019-03-20T04:43:06.989Z;;OS-Clipboard;copy;;gdubois@gmail.com;;;;NA;;;;;;;;NA
2019-03-20T04:43:07.281Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Email;gdubois@gmail.com;;;;NA
2019-03-20T04:43:11.019Z;vleno;Excel;getCell;;;StudentRecords.xlsx;Sheet2;F5;NA;;;;120 Princes St, Port Melbourne, VIC 3207, Melbourne, Australia ;;;;NA
2019-03-20T04:43:15.296Z;;OS-Clipboard;copy;;120 Princes St, Port Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:43:17.314Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:43:17.572Z;vleno;Chrome;paste;;120 Princes St, Port Melbourne;;;;NA;INPUT;text;Address_AddressLine1;;;;;NA
2019-03-20T04:43:17.905Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_AddressLine1;120 Princes St, Port Melbourne;;;;NA
2019-03-20T04:43:21.873Z;;OS-Clipboard;copy;;Melbourne;;;;NA;;;;;;;;NA
2019-03-20T04:43:23.553Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:43:23.773Z;vleno;Chrome;paste;;Melbourne;;;;NA;INPUT;text;Address_City;;;;;NA
2019-03-20T04:43:24.113Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_City;Melbourne;;;;NA
2019-03-20T04:43:27.558Z;;OS-Clipboard;copy;;VIC;;;;NA;;;;;;;;NA
2019-03-20T04:43:29.305Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:43:29.544Z;vleno;Chrome;paste;;VIC;;;;NA;INPUT;text;Address_Region;;;;;NA
2019-03-20T04:43:29.866Z;vleno;Chrome;editField;;;;;;NA;INPUT;text;Address_Region;VIC;;;;NA
2019-03-20T04:43:33.355Z;;OS-Clipboard;copy;;3207;;;;NA;;;;;;;;NA
2019-03-20T04:43:34.660Z;vleno;Chrome;mouseClick;;;;;;NA;INPUT;text;Address_ZipCode;;;;;NA
